,subject,duration,standing_up,first_walk,first_turn,second_walk,second_turn,sitting_down,status
82,s09,8052.0,976.0,1952.0,1220.0,1952.0,732.0,1220.0,success
83,s09,8052.0,976.0,1952.0,1464.0,1708.0,732.0,1220.0,success
84,s09,7807.0,1219.0,1953.0,1219.0,1708.0,732.0,976.0,success
85,s09,7808.0,975.0,1953.0,976.0,1952.0,732.0,1220.0,success
86,s09,7320.0,976.0,1708.0,1708.0,1220.0,732.0,976.0,success
87,s09,7564.0,732.0,1952.0,1464.0,1464.0,488.0,1464.0,success
88,s09,7808.0,976.0,1952.0,1220.0,1464.0,976.0,1220.0,success
89,s10,,3172.0,2683.0,1464.0,1464.0,1464.0,6588.0,failure
90,s10,,1220.0,2440.0,1464.0,1464.0,1708.0,7076.0,failure
91,s10,,1220.0,2439.0,1220.0,1465.0,1464.0,6587.0,failure
92,s10,,2196.0,2928.0,1708.0,1464.0,1708.0,11223.0,failure
93,s10,,976.0,2684.0,1219.0,1708.0,1220.0,8052.0,failure
94,s10,,,2928.0,1464.0,1708.0,1708.0,2684.0,failure
95,s10,,1708.0,2440.0,1220.0,1708.0,1708.0,8540.0,failure
96,s10,,,3172.0,1220.0,1708.0,1952.0,5856.0,failure
97,s10,,1464.0,2441.0,1464.0,1708.0,1707.0,5368.0,failure
98,s10,,,2440.0,1219.0,1709.0,1463.0,7076.0,failure
99,s11,8784.0,732.0,1952.0,1708.0,1708.0,976.0,1708.0,success
100,s11,8296.0,732.0,1952.0,1464.0,1952.0,976.0,1220.0,success
101,s11,9516.0,488.0,2927.0,2196.0,1220.0,1221.0,1464.0,success
102,s11,,1708.0,1464.0,976.0,2440.0,732.0,3904.0,failure
103,s11,9516.0,732.0,3172.0,1464.0,2196.0,976.0,976.0,success
104,s11,9273.0,488.0,2928.0,1464.0,1952.0,1464.0,977.0,success
105,s11,9029.0,488.0,2929.0,1464.0,1952.0,1220.0,976.0,success
106,s11,10492.0,1952.0,2928.0,1464.0,2196.0,732.0,1220.0,success
107,s11,8540.0,976.0,2196.0,976.0,2440.0,976.0,976.0,success
108,s11,8784.0,488.0,2928.0,1464.0,2196.0,976.0,732.0,success
109,s12,10492.0,1708.0,2196.0,1708.0,2684.0,976.0,1220.0,success
110,s12,10736.0,1220.0,2196.0,976.0,2684.0,976.0,2684.0,success
111,s12,9028.0,1465.0,1707.0,1221.0,1952.0,975.0,1708.0,success
112,s12,,,,,,,,failure
113,s12,9028.0,1219.0,2196.0,976.0,2196.0,977.0,1464.0,success
114,s12,9272.0,1952.0,1708.0,1220.0,2440.0,976.0,976.0,success
115,s12,8785.0,976.0,2197.0,1463.0,1953.0,1220.0,976.0,success
116,s12,9028.0,1220.0,2196.0,1220.0,2196.0,1220.0,976.0,success
117,s12,9517.0,976.0,2928.0,977.0,1952.0,976.0,1708.0,success
118,s12,8540.0,976.0,1952.0,732.0,2196.0,976.0,1708.0,success
119,s13,9028.0,1952.0,1709.0,975.0,2440.0,732.0,1220.0,success
120,s13,9515.0,1708.0,2928.0,2928.0,,,1951.0,partial_success
121,s13,8539.0,1220.0,1951.0,1464.0,1952.0,732.0,1220.0,success
122,s13,8540.0,1220.0,1951.0,1464.0,1953.0,731.0,1221.0,success
123,s13,8296.0,1220.0,1708.0,1464.0,1951.0,977.0,976.0,success
124,s13,8784.0,1464.0,1952.0,1464.0,1952.0,732.0,1220.0,success
125,s13,8295.0,976.0,1952.0,1463.0,1952.0,733.0,1219.0,success
126,s13,8784.0,1220.0,1952.0,1464.0,1952.0,976.0,1220.0,success
127,s13,8540.0,977.0,1951.0,1465.0,2195.0,977.0,975.0,success
128,s13,8296.0,1221.0,1951.0,1465.0,1952.0,731.0,976.0,success
129,s14,9028.0,1220.0,1952.0,976.0,2684.0,733.0,1463.0,success
130,s14,,,,,,,,failure
131,s14,9760.0,1221.0,2439.0,976.0,2440.0,976.0,1708.0,success
132,s14,9027.0,976.0,2196.0,976.0,,,1219.0,partial_success
133,s14,9515.0,488.0,2440.0,976.0,2684.0,976.0,1951.0,success
134,s14,8539.0,488.0,2440.0,976.0,2684.0,731.0,1220.0,success
135,s14,10248.0,732.0,2684.0,1464.0,,,2684.0,partial_success
136,s14,10004.0,977.0,2439.0,976.0,2684.0,976.0,1952.0,success
137,s15,9272.0,488.0,2684.0,1952.0,2195.0,977.0,976.0,success
138,s15,,732.0,3904.0,1463.0,1464.0,,,failure
139,s15,,244.0,2927.0,1221.0,1951.0,,,failure
140,s15,,731.0,2684.0,1464.0,1708.0,,,failure
141,s15,,244.0,2928.0,1220.0,2439.0,,,failure
142,s15,9760.0,732.0,2684.0,1952.0,1708.0,2196.0,488.0,success
